"electricity generation in Hungary",Value,Year,Units
"Wind",626,2011, GWh
"Wind",770,2012, GWh
"Wind",718,2013, GWh
"Wind",657,2014, GWh
"Wind",693,2015, GWh
"Wind",684,2016, GWh
"Wind",758,2017, GWh
"Wind",607,2018, GWh
"Wind",729,2019, GWh
"Wind",655,2020, GWh
"Wind",664,2021, GWh
"Wind",610,2022, GWh
"Wind",646,2023, GWh
"Solar PV",,2000, GWh
"Solar PV",,2001, GWh
"Solar PV",,2002, GWh
"Solar PV",,2003, GWh
"Solar PV",,2004, GWh
"Solar PV",,2005, GWh
"Solar PV",,2006, GWh
"Solar PV",0,2007, GWh
"Solar PV",0,2008, GWh
"Solar PV",0,2009, GWh
"Solar PV",0,2010, GWh
"Solar PV",1,2011, GWh
"Solar PV",7,2012, GWh
"Solar PV",24,2013, GWh
"Solar PV",67,2014, GWh
"Solar PV",141,2015, GWh
"Solar PV",244,2016, GWh
"Solar PV",349,2017, GWh
"Solar PV",629,2018, GWh
"Solar PV",1497,2019, GWh
"Solar PV",2459,2020, GWh
"Solar PV",3796,2021, GWh
"Solar PV",4732,2022, GWh
"Solar PV",6925,2023, GWh
"Geothermal",,2000, GWh
"Geothermal",,2001, GWh
"Geothermal",,2002, GWh
"Geothermal",,2003, GWh
"Geothermal",,2004, GWh
"Geothermal",,2005, GWh
"Geothermal",,2006, GWh
"Geothermal",,2007, GWh
"Geothermal",,2008, GWh
"Geothermal",,2009, GWh
"Geothermal",,2010, GWh
"Geothermal",,2011, GWh
"Geothermal",,2012, GWh
"Geothermal",,2013, GWh
"Geothermal",,2014, GWh
"Geothermal",,2015, GWh
"Geothermal",,2016, GWh
"Geothermal",1,2017, GWh
"Geothermal",12,2018, GWh
"Geothermal",18,2019, GWh
"Geothermal",16,2020, GWh
"Geothermal",12,2021, GWh
"Geothermal",4,2022, GWh
"Geothermal",16,2023, GWh
"Other sources",,2000, GWh
"Other sources",,2001, GWh
"Other sources",,2002, GWh
"Other sources",,2003, GWh
"Other sources",,2004, GWh
"Other sources",,2005, GWh
"Other sources",,2006, GWh
"Other sources",,2007, GWh
"Other sources",,2008, GWh
"Other sources",,2009, GWh
"Other sources",,2010, GWh
"Other sources",,2011, GWh
"Other sources",,2012, GWh
"Other sources",32,2013, GWh
"Other sources",55,2014, GWh
"Other sources",63,2015, GWh
"Other sources",78,2016, GWh
"Other sources",82,2017, GWh
"Other sources",139,2018, GWh
"Other sources",111,2019, GWh
"Other sources",143,2020, GWh
"Other sources",145,2021, GWh
"Other sources",73,2022, GWh
"Other sources",114,2023, GWh
