"electricity generation sources in Spain",Value,Year,Units
"Wind",49325,2015, GWh
"Wind",48905,2016, GWh
"Wind",49127,2017, GWh
"Wind",50896,2018, GWh
"Wind",55647,2019, GWh
"Wind",56444,2020, GWh
"Wind",62061,2021, GWh
"Wind",62784,2022, GWh
"Wind",64275,2023, GWh
"Solar PV",14,2000, GWh
"Solar PV",17,2001, GWh
"Solar PV",18,2002, GWh
"Solar PV",20,2003, GWh
"Solar PV",23,2004, GWh
"Solar PV",47,2005, GWh
"Solar PV",124,2006, GWh
"Solar PV",507,2007, GWh
"Solar PV",2562,2008, GWh
"Solar PV",5961,2009, GWh
"Solar PV",6425,2010, GWh
"Solar PV",7440,2011, GWh
"Solar PV",8192,2012, GWh
"Solar PV",8326,2013, GWh
"Solar PV",8217,2014, GWh
"Solar PV",8266,2015, GWh
"Solar PV",8063,2016, GWh
"Solar PV",8514,2017, GWh
"Solar PV",7877,2018, GWh
"Solar PV",9420,2019, GWh
"Solar PV",15675,2020, GWh
"Solar PV",21922,2021, GWh
"Solar PV",31187,2022, GWh
"Solar PV",43421,2023, GWh
"Solar thermal",,2000, GWh
"Solar thermal",,2001, GWh
"Solar thermal",,2002, GWh
"Solar thermal",,2003, GWh
"Solar thermal",,2004, GWh
"Solar thermal",,2005, GWh
"Solar thermal",0,2006, GWh
"Solar thermal",8,2007, GWh
"Solar thermal",16,2008, GWh
"Solar thermal",103,2009, GWh
"Solar thermal",761,2010, GWh
"Solar thermal",1959,2011, GWh
"Solar thermal",3775,2012, GWh
"Solar thermal",4769,2013, GWh
"Solar thermal",5454,2014, GWh
"Solar thermal",5593,2015, GWh
"Solar thermal",5579,2016, GWh
"Solar thermal",5883,2017, GWh
"Solar thermal",4867,2018, GWh
"Solar thermal",5683,2019, GWh
"Solar thermal",4992,2020, GWh
"Solar thermal",5176,2021, GWh
"Solar thermal",4536,2022, GWh
"Solar thermal",5165,2023, GWh
"Other sources",,2000, GWh
"Other sources",,2001, GWh
"Other sources",,2002, GWh
"Other sources",,2003, GWh
"Other sources",2963,2004, GWh
"Other sources",4994,2005, GWh
"Other sources",329,2006, GWh
"Other sources",324,2007, GWh
"Other sources",307,2008, GWh
"Other sources",341,2009, GWh
"Other sources",159,2010, GWh
"Other sources",171,2011, GWh
"Other sources",175,2012, GWh
"Other sources",0,2013, GWh
"Other sources",,2014, GWh
"Other sources",216,2015, GWh
"Other sources",108,2016, GWh
"Other sources",91,2017, GWh
"Other sources",94,2018, GWh
"Other sources",139,2019, GWh
"Other sources",160,2020, GWh
"Other sources",280,2021, GWh
"Other sources",282,2022, GWh
"Other sources",273,2023, GWh
