"electricity generation in Lithuania",Value,Year,Units
"Biofuels",543,2021, GWh
"Biofuels",552,2022, GWh
"Biofuels",532,2023, GWh
"Waste",,2000, GWh
"Waste",,2001, GWh
"Waste",,2002, GWh
"Waste",,2003, GWh
"Waste",,2004, GWh
"Waste",,2005, GWh
"Waste",,2006, GWh
"Waste",,2007, GWh
"Waste",,2008, GWh
"Waste",,2009, GWh
"Waste",,2010, GWh
"Waste",,2011, GWh
"Waste",,2012, GWh
"Waste",45,2013, GWh
"Waste",72,2014, GWh
"Waste",103,2015, GWh
"Waste",151,2016, GWh
"Waste",156,2017, GWh
"Waste",132,2018, GWh
"Waste",133,2019, GWh
"Waste",206,2020, GWh
"Waste",379,2021, GWh
"Waste",401,2022, GWh
"Waste",410,2023, GWh
"Wind",,2000, GWh
"Wind",,2001, GWh
"Wind",,2002, GWh
"Wind",,2003, GWh
"Wind",1,2004, GWh
"Wind",2,2005, GWh
"Wind",14,2006, GWh
"Wind",106,2007, GWh
"Wind",131,2008, GWh
"Wind",158,2009, GWh
"Wind",224,2010, GWh
"Wind",475,2011, GWh
"Wind",540,2012, GWh
"Wind",603,2013, GWh
"Wind",639,2014, GWh
"Wind",810,2015, GWh
"Wind",1136,2016, GWh
"Wind",1363,2017, GWh
"Wind",1144,2018, GWh
"Wind",1499,2019, GWh
"Wind",1551,2020, GWh
"Wind",1361,2021, GWh
"Wind",1512,2022, GWh
"Wind",2536,2023, GWh
"Solar PV",,2000, GWh
"Solar PV",,2001, GWh
"Solar PV",,2002, GWh
"Solar PV",,2003, GWh
"Solar PV",,2004, GWh
"Solar PV",,2005, GWh
"Solar PV",,2006, GWh
"Solar PV",,2007, GWh
"Solar PV",,2008, GWh
"Solar PV",,2009, GWh
"Solar PV",,2010, GWh
"Solar PV",,2011, GWh
"Solar PV",2,2012, GWh
"Solar PV",45,2013, GWh
"Solar PV",73,2014, GWh
"Solar PV",73,2015, GWh
"Solar PV",66,2016, GWh
"Solar PV",68,2017, GWh
"Solar PV",86,2018, GWh
"Solar PV",91,2019, GWh
"Solar PV",128,2020, GWh
"Solar PV",190,2021, GWh
"Solar PV",342,2022, GWh
"Solar PV",688,2023, GWh
"Other sources",91,2000, GWh
"Other sources",68,2001, GWh
"Other sources",138,2002, GWh
"Other sources",167,2003, GWh
"Other sources",170,2004, GWh
"Other sources",200,2005, GWh
"Other sources",197,2006, GWh
"Other sources",231,2007, GWh
"Other sources",238,2008, GWh
"Other sources",271,2009, GWh
"Other sources",250,2010, GWh
"Other sources",257,2011, GWh
"Other sources",227,2012, GWh
"Other sources",237,2013, GWh
"Other sources",243,2014, GWh
"Other sources",265,2015, GWh
"Other sources",270,2016, GWh
"Other sources",250,2017, GWh
"Other sources",231,2018, GWh
"Other sources",223,2019, GWh
"Other sources",206,2020, GWh
"Other sources",192,2021, GWh
"Other sources",63,2022, GWh
"Other sources",24,2023, GWh
